company_id,name,type,color,icon,chart_account_id,is_active,is_system,id,created_date,updated_date,created_by_id,is_sample
"692b9225a365c642692f4d14","Receitas Financeiras","receita","#8b5cf6","TrendingUp","","true","true","692b922d40176649bc82e9c8","2025-11-30T00:39:09.736000","2025-11-30T00:39:09.736000","691f77ab8d822917920b4ee5","false"
"692b9225a365c642692f4d14","Outras Receitas","receita","#6366f1","DollarSign","","true","true","692b922d40176649bc82e9c9","2025-11-30T00:39:09.736000","2025-11-30T00:39:09.736000","691f77ab8d822917920b4ee5","false"
"692b9225a365c642692f4d14","Aluguel","despesa","#ef4444","Home","","true","true","692b922d40176649bc82e9ca","2025-11-30T00:39:09.736000","2025-11-30T00:39:09.736000","691f77ab8d822917920b4ee5","false"
"692b9225a365c642692f4d14","Energia Elétrica","despesa","#f59e0b","Zap","","true","true","692b922d40176649bc82e9cb","2025-11-30T00:39:09.736000","2025-11-30T00:39:09.736000","691f77ab8d822917920b4ee5","false"
"692b9225a365c642692f4d14","Salários","despesa","#ec4899","Users","","true","true","692b922d40176649bc82e9cc","2025-11-30T00:39:09.736000","2025-11-30T00:39:09.736000","691f77ab8d822917920b4ee5","false"
"692b9225a365c642692f4d14","Impostos e Taxas","despesa","#dc2626","FileText","","true","true","692b922d40176649bc82e9cd","2025-11-30T00:39:09.736000","2025-11-30T00:39:09.736000","691f77ab8d822917920b4ee5","false"
"692b9225a365c642692f4d14","Marketing","despesa","#8b5cf6","Megaphone","","true","true","692b922d40176649bc82e9ce","2025-11-30T00:39:09.736000","2025-11-30T00:39:09.736000","691f77ab8d822917920b4ee5","false"
"692b9225a365c642692f4d14","Fornecedores","despesa","#f97316","Package","","true","true","692b922d40176649bc82e9cf","2025-11-30T00:39:09.736000","2025-11-30T00:39:09.736000","691f77ab8d822917920b4ee5","false"
"692b9225a365c642692f4d14","Outras Despesas","despesa","#64748b","MoreHorizontal","","true","true","692b922d40176649bc82e9d0","2025-11-30T00:39:09.736000","2025-11-30T00:39:09.736000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","Vendas de Produtos","receita","#10b981","ShoppingCart","692f92738c846beed850bb1c","true","true","691f786ee14f5dee8a4abe57","2025-11-20T20:22:06.831000","2025-12-04T20:46:37.496000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","Prestação de Serviços","receita","#3b82f6","Briefcase","","true","true","691f786ee14f5dee8a4abe58","2025-11-20T20:22:06.831000","2025-11-20T20:22:06.831000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","Receitas Financeiras","receita","#8b5cf6","TrendingUp","","true","true","691f786ee14f5dee8a4abe59","2025-11-20T20:22:06.831000","2025-11-20T20:22:06.831000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","Outras Receitas","receita","#6366f1","DollarSign","","true","true","691f786ee14f5dee8a4abe5a","2025-11-20T20:22:06.831000","2025-11-20T20:22:06.831000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","Aluguel","despesa","#ef4444","Home","","true","true","691f786ee14f5dee8a4abe5b","2025-11-20T20:22:06.831000","2025-11-20T20:22:06.831000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","Energia Elétrica","despesa","#f59e0b","Zap","","true","true","691f786ee14f5dee8a4abe5c","2025-11-20T20:22:06.831000","2025-11-20T20:22:06.831000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","Salários","despesa","#ec4899","Users","","true","true","691f786ee14f5dee8a4abe5d","2025-11-20T20:22:06.831000","2025-11-20T20:22:06.831000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","Impostos e Taxas","despesa","#dc2626","FileText","","true","true","691f786ee14f5dee8a4abe5e","2025-11-20T20:22:06.831000","2025-11-20T20:22:06.831000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","Marketing","despesa","#8b5cf6","Megaphone","","true","true","691f786ee14f5dee8a4abe5f","2025-11-20T20:22:06.831000","2025-11-20T20:22:06.831000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","Fornecedores","despesa","#f97316","Package","","true","true","691f786ee14f5dee8a4abe60","2025-11-20T20:22:06.831000","2025-11-20T20:22:06.831000","691f77ab8d822917920b4ee5","false"
"691f786bcf15b38eaf75a544","Outras Despesas","despesa","#64748b","MoreHorizontal","","true","true","691f786ee14f5dee8a4abe61","2025-11-20T20:22:06.831000","2025-11-20T20:22:06.831000","691f77ab8d822917920b4ee5","false"
